,method,best_Jaccard_index_for_cluster
490,SingleCellHaystack (k=3),0.16185518220539516
491,SingleCellHaystack (k=3),0.09404990403071017
492,SingleCellHaystack (k=5),0.09669698420296793
493,SingleCellHaystack (k=5),0.04844124700239808
494,SingleCellHaystack (k=5),0.06392251815980629
495,SingleCellHaystack (k=5),0.027285129604365622
496,SingleCellHaystack (k=5),0.09006363191385218
497,SingleCellHaystack (k=5),0.09404990403071017
498,SingleCellHaystack (k=6),0.09669698420296793
499,SingleCellHaystack (k=6),0.04844124700239808
500,SingleCellHaystack (k=6),0.06392251815980629
501,SingleCellHaystack (k=6),0.027285129604365622
502,SingleCellHaystack (k=6),0.07502374169040836
503,SingleCellHaystack (k=6),0.09404990403071017
504,SPIRAL (Jaccard index=0.05),0.15411127523387494
505,SPIRAL (Jaccard index=0.05),0.1448780487804878
506,SPIRAL (Jaccard index=0.05),0.09961685823754789
507,SPIRAL (Jaccard index=0.05),0.048089308716187204
508,SPIRAL (Jaccard index=0.05),0.23092072870507138
509,SPIRAL (Jaccard index=0.05),0.1875293014533521
510,SPIRAL (Jaccard index=0.5),0.21347291761492945
511,SPIRAL (Jaccard index=0.5),0.21679962458939464
512,SPIRAL (Jaccard index=0.5),0.23710843373493976
513,SPIRAL (Jaccard index=0.5),0.2039506172839506
514,SPIRAL (Jaccard index=0.5),0.2578302315024966
515,SPIRAL (Jaccard index=0.5),0.1875293014533521
516,SPIRAL (Jaccard index=0.75),0.21347291761492945
517,SPIRAL (Jaccard index=0.75),0.21679962458939464
518,SPIRAL (Jaccard index=0.75),0.23710843373493976
519,SPIRAL (Jaccard index=0.75),0.2039506172839506
520,SPIRAL (Jaccard index=0.75),0.2578302315024966
521,SPIRAL (Jaccard index=0.75),0.1875293014533521
522,Seurat,0.06596638655462185
523,Seurat,0.0523279769262464
524,Seurat,0.10840336134453782
525,Seurat,0.0959552495697074
526,Seurat,0.10498687664041995
527,Seurat,0.07179487179487179
528,Slingshot+tradeSeq (nPoints=20),0.06859382655561
529,Slingshot+tradeSeq (nPoints=20),0.04873294346978557
530,Slingshot+tradeSeq (nPoints=20),0.016561130053580127
531,Slingshot+tradeSeq (nPoints=20),0.02688919796012981
532,Slingshot+tradeSeq (nPoints=20),0.11525257479156449
533,Slingshot+tradeSeq (nPoints=20),0.033763654419066536
534,Slingshot+tradeSeq (nPoints=200),0.10927634774162215
535,Slingshot+tradeSeq (nPoints=200),0.054554310764734534
536,Slingshot+tradeSeq (nPoints=200),0.020814880425155006
537,Slingshot+tradeSeq (nPoints=200),0.027652086475615886
